,time,speed,i
347,10.865,3075.5205862697376,111.46920082647851
348,10.88,3084.818925419107,102.05780659750863
349,10.894,3083.783101924944,91.23486904661169
350,10.91,3069.3097612489664,80.57266223009425
351,10.924,3047.5723408433273,72.25188344305829
352,10.94,3017.4267679219975,72.00307303573334
353,10.955,2994.770005341468,78.50851165120153
354,11.001,2965.869525258006,92.03150037620138
355,11.041,2971.9034834375902,102.54887359843033
356,11.084,3013.4988737034014,111.25336123634145
357,11.128,3067.6336364197027,103.69738584610532
358,11.146,3069.3879822213507,94.11793355139436
359,11.159,3064.162103908693,87.17822203553706
360,11.188,3038.0207622034877,74.17631998399676
361,11.208,3008.2322884892487,71.34244974265252
362,11.231,2981.579020654057,79.10685710213274
363,11.277,2954.020389785471,93.89952158572451
364,11.34,2984.6289116763664,108.45673527700619
365,11.367,3013.313055812072,104.49065832690326
366,11.403,3005.926045204778,82.6918251178946
367,11.692,3068.653304288517,119.32696717777277
368,11.754,3181.41645932949,111.7213951035195
369,11.772,3189.5379661575735,97.3620011472718
370,11.79,3178.8187328032977,85.15116162438612
371,11.806,3156.2666390338013,75.12714504737006
372,11.836,3087.2559523431937,58.799541118908145
373,11.868,2990.3692671621475,52.545594864840716
374,11.897,2918.816242422673,70.05168102812573
375,11.929,2877.5797238013593,84.9518534488596
376,11.947,2869.2157645882794,92.12903855576849
377,11.967,2871.775489125255,98.79561355901068
378,11.991,2886.9909091101913,105.02026225008908
379,12.017,2914.7649576926697,110.3698975152519
380,12.048,2959.6565634426347,115.28918212706924
381,12.094,3052.8066116671766,115.77548220136363
382,12.136,3063.0069098839404,85.42159535563746
383,12.184,2977.634204115599,59.230486351034656
384,12.228,2863.484352137909,54.285893915259805
385,12.262,2796.531547225384,73.15307545927445
386,12.296,2767.4354465783044,88.06378267355846
387,12.367,2805.1741486747205,108.74646671172296
388,12.509,3044.3571740228695,124.3665455716262
389,12.53,3097.4764440893764,118.59810087707564
390,12.565,3118.001132051318,92.67769889046257
391,12.588,3097.303394678343,78.46450133983693
392,12.619,3045.0546113770697,63.46675466793623
393,12.709,2912.206810785107,82.36097889071495
394,12.74,2896.9003763254614,93.43827513539507
395,12.807,2927.0993775425927,107.96189815746388
396,12.894,3040.598290978314,118.7267553639057
397,12.975,3194.0350157488847,112.41345136715537
398,13.049,3122.5620478069873,63.128014361849644
399,13.13,2934.771642598086,38.60465100912693
400,13.162,2825.8366439968863,37.055899081336804
401,13.195,2738.956441059139,59.05211144123095
402,13.246,2677.2584540950393,82.51433885773615
403,13.284,2675.1620004085726,96.79571262578614
404,13.305,2690.66920740417,103.44955885178581
405,13.332,2723.5699040270415,110.23853246483435
406,13.386,2816.5474477583816,119.44484718407385
407,13.422,2899.3818500518983,123.65360961990395
408,13.457,2969.68861745758,115.99781692658114
409,13.484,2991.150781707398,98.04741593017634
410,13.538,2943.767540209611,68.43480453854706
411,13.561,2898.5879183689976,64.4042240942301
412,13.678,2838.5700004828136,100.53071541423428
413,13.725,2873.259637043676,109.45724837106295
414,13.763,2936.8404733142243,116.41474189712443
415,13.799,2984.8000153807952,115.13672313379068
416,13.811,2995.094552017674,109.08957558365815
417,13.826,3002.485412429266,101.75991796401118
